centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,col_index,row_index
1605473.8758166605,-2167019.413791975,11,2,186.0,1652.7026546456138,4335.933695523208,0.0,7,42
1605473.8758166605,-2166019.413791975,11,2,195.0,1355.6790827069935,3757.069855235417,0.0,7,43
1605473.8758166605,-2165019.413791975,11,2,201.0,1134.011920451842,3380.950573768243,0.0,7,44
1605473.8758166605,-2164019.413791975,11,2,205.0,234.1885993823382,3278.121362519842,0.0,7,45
1605473.8758166605,-2163019.413791975,11,2,205.0,692.9288163103462,3472.9429238837315,0.0,7,46
1605473.8758166605,-2162019.413791975,11,2,202.0,399.3201978474957,3921.298947759431,0.0,7,47
1605473.8758166605,-2161019.413791975,11,2,195.0,217.4763235948355,4548.828236243302,0.0,7,48
1605473.8758166605,-2160019.413791975,11,2,184.0,402.1040202457946,5292.172635883063,0.0,7,49
1605473.8758166605,-2159019.413791975,11,2,171.0,1082.6916904912232,6109.201592117797,0.0,7,50
1605473.8758166605,-2158019.413791975,11,2,154.0,1760.1296675493627,6974.066029102374,0.0,7,51
1605473.8758166605,-2157019.413791975,11,2,136.0,2115.1891912623314,7871.013267897907,0.0,7,52
1605473.8758166605,-2156019.413791975,11,2,117.0,2333.01648535747,8790.227684683146,125.37369678558731,7,53
1605473.8758166605,-2155019.413791975,11,2,98.0,2560.9512448532823,9725.397453765843,913.778581423982,7,54
1605473.8758166605,-2154019.413791975,11,2,80.0,2951.901178882959,10266.576322497878,1702.1834660623765,7,55
1605473.8758166605,-2153019.413791975,11,2,63.0,3368.258217231999,10286.290912932653,2490.5883507007707,7,56
1606473.8758166605,-2185019.413791975,12,2,73.0,4592.268700862946,10071.66534102045,2425.771111014055,8,24
1606473.8758166605,-2184019.413791975,12,2,88.0,3745.4140188049546,9093.13318999984,1523.355255012823,8,25
1606473.8758166605,-2183019.413791975,12,2,102.0,2993.026809988427,8119.833722474904,869.9752771889578,8,26
1606473.8758166605,-2182019.413791975,12,2,116.0,2421.8330755626725,7153.903001173882,563.2273299337857,8,27
1606473.8758166605,-2181019.413791975,12,2,128.0,2036.499019245808,6198.786705458472,256.625690736908,8,28
1606473.8758166605,-2180019.413791975,12,2,138.0,1403.4060519187417,5260.378797133599,0.0,8,29
1606473.8758166605,-2179019.413791975,12,2,144.0,785.7151631493615,4349.5072777151145,0.0,8,30
1606473.8758166605,-2178019.413791975,12,2,148.0,607.9491717823776,3487.813359178034,0.0,8,31
1606473.8758166605,-2177019.413791975,12,2,150.0,138.87910500086682,2722.401604838049,0.0,8,32
1606473.8758166605,-2176019.413791975,12,2,150.0,796.5694607051778,2158.2629514470204,0.0,8,33
1606473.8758166605,-2175019.413791975,12,2,149.0,1415.932938734906,1976.0383187460773,0.0,8,34
1606473.8758166605,-2174019.413791975,12,2,149.0,1511.9748263828458,2269.6598658646726,0.0,8,35
1606473.8758166605,-2173019.413791975,12,2,150.0,1417.8406705019872,2655.1402519218245,0.0,8,36
1606473.8758166605,-2172019.413791975,12,2,154.0,1288.1460154873723,2750.6547461032483,0.0,8,37
1606473.8758166605,-2171019.413791975,12,2,159.0,1749.0109285750202,3175.2847600089603,0.0,8,38
1606473.8758166605,-2170019.413791975,12,2,167.0,1497.9578783079148,3820.833035089337,0.0,8,39
1606473.8758166605,-2169019.413791975,12,2,176.0,1231.5297161837495,4595.116631481167,0.0,8,40
1606473.8758166605,-2168019.413791975,12,2,187.0,893.85764610416,4465.020622365664,0.0,8,41
1606473.8758166605,-2167019.413791975,12,2,197.0,697.7784274457118,3640.283236685821,0.0,8,42
1606473.8758166605,-2166019.413791975,12,2,207.0,400.40112099171495,2926.929266046744,0.0,8,43
1606473.8758166605,-2165019.413791975,12,2,214.0,137.04457393733657,2425.318085032573,0.0,8,44
1606473.8758166605,-2164019.413791975,12,2,218.0,63.383538633590575,2279.78523083452,0.0,8,45
1606473.8758166605,-2163019.413791975,12,2,219.0,251.88071030235955,2551.9940407211648,0.0,8,46
1606473.8758166605,-2162019.413791975,12,2,217.0,574.5918490992981,3134.9523870421817,0.0,8,47
1606473.8758166605,-2161019.413791975,12,2,210.0,767.5093562747087,3891.423820938373,0.0,8,48
1606473.8758166605,-2160019.413791975,12,2,199.0,1136.7246665185023,4739.03283796512,0.0,8,49
1606473.8758166605,-2159019.413791975,12,2,184.0,1815.5231709461516,5636.815157911148,0.0,8,50
1606473.8758166605,-2158019.413791975,12,2,167.0,2496.879035894376,6564.216481012949,0.0,8,51
1606473.8758166605,-2157019.413791975,12,2,148.0,3092.463883365549,7510.272358226907,0.0,8,52
1606473.8758166605,-2156019.413791975,12,2,127.0,3311.634134411748,8468.733304331427,0.0,8,53
1606473.8758166605,-2155019.413791975,12,2,107.0,3529.099933193299,9352.692791879594,298.62190391952697,8,54
1606473.8758166605,-2154019.413791975,12,2,87.0,3853.541414362719,9267.04126564047,1087.0267885579217,8,55
