centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,V,RiskFire,RiskPoaching,R
1604473.8758166605,-2157019.413791975,11,2,123.0,1139.4684687770398,8336.75649351129,0.0,0.49,0.4598210553646294,0.4188392722693078,0.19259111620302646
1604473.8758166605,-2156019.413791975,11,2,106.0,1357.1634312670865,9209.601604697555,740.5303742900422,0.49,0.45819095197099685,0.3534781107636407,0.161960472071702
1604473.8758166605,-2155019.413791975,11,2,88.0,1618.3639817117098,10106.038521715267,1528.9352589284367,0.49,0.4562350780323982,0.2870770711883477,0.13097462997492815
1604473.8758166605,-2154019.413791975,11,2,71.0,2009.9275227271767,11020.31158758853,2317.3401435668316,0.49,0.4533030439158013,0.22643829475711325,0.10264516827250286
1605473.8758166605,-2183019.413791975,11,2,88.0,3786.8480868728334,7936.455502773887,1821.6668938015537,0.49,0.4399974340445493,0.29819778408450576,0.13120625983495307
1605473.8758166605,-2182019.413791975,11,2,100.0,3335.4959254740993,6945.066912353972,1515.065254604676,0.49,0.44337716631581453,0.3456365451263262,0.15324735195329867
1605473.8758166605,-2181019.413791975,11,2,110.0,2802.356467031579,5956.557973077904,1208.4636154077982,0.49,0.44736932318773265,0.3876611371031674,0.17342770053203083
1605473.8758166605,-2180019.413791975,11,2,119.0,2121.5563955158937,4972.6463132020535,901.8619762109206,0.49,0.4524671651142025,0.42744615026278543,0.19340534784838195
1605473.8758166605,-2179019.413791975,11,2,125.0,1769.0379322468611,3996.728640496624,595.2603370140429,0.49,0.4551068290582833,0.4574413823171902,0.2081846969864143
1605473.8758166605,-2178019.413791975,11,2,129.0,1264.8532380949919,3036.522401585408,288.65869781716515,0.49,0.4588821721877421,0.48069938851698757,0.22058437957199462
1605473.8758166605,-2177019.413791975,11,2,131.0,614.422507016158,2113.550748123648,0.0,0.49,0.46375260800273255,0.4965760894682289,0.2302884565626894
1605473.8758166605,-2176019.413791975,11,2,133.0,36.80265997697617,1309.0932871488012,0.0,0.49,0.468077834742562,0.5107844454255214,0.23908687723495836
1605473.8758166605,-2175019.413791975,11,2,134.0,561.5922557866776,979.9763793184376,0.0,0.49,0.46414820177684013,0.5173565479737791,0.24013011141950308
1605473.8758166605,-2174019.413791975,11,2,135.0,516.1525802453658,1485.591523126763,0.0,0.49,0.4644884548008799,0.5169895750952516,0.24013568888415687
1605473.8758166605,-2173019.413791975,11,2,138.0,591.1272389943966,1661.7947334082432,0.0,0.49,0.46392704334576257,0.5269721182141834,0.24447661672875978
1605473.8758166605,-2172019.413791975,11,2,142.0,349.6471749768314,1810.4953772015574,0.0,0.49,0.46573524996362425,0.5409387975830783,0.2519342661073773
1605473.8758166605,-2171019.413791975,11,2,149.0,1049.7136545369929,2407.1197073999133,0.0,0.49,0.460493140862677,0.5620985918706184,0.2588425460449891
1605473.8758166605,-2170019.413791975,11,2,157.0,1820.1584093873657,3211.0056151676035,0.0,0.49,0.45472403810015694,0.5844610413256804,0.26576848482383614
1605473.8758166605,-2169019.413791975,11,2,167.0,2174.4528616822718,4102.059097029529,0.0,0.49,0.4520710755215785,0.6124709520288563,0.27688040200941016
1605473.8758166605,-2168019.413791975,11,2,177.0,1863.776171768665,5034.205062411299,0.0,0.49,0.45439742759127266,0.6389265354573348,0.290326574131617
1605473.8758166605,-2167019.413791975,11,2,186.0,1652.7026546456138,4335.9336955232075,0.0,0.49,0.4559779494950994,0.6794588827233575,0.3098182681104278
1605473.8758166605,-2166019.413791975,11,2,195.0,1355.6790827069935,3757.069855235417,0.0,0.49,0.4582020667969784,0.7193275162915319,0.3295973546687171
1605473.8758166605,-2165019.413791975,11,2,201.0,1134.011920451842,3380.950573768243,0.0,0.49,0.45986191408658,0.7461432659729804,0.34312287047314693
1605473.8758166605,-2164019.413791975,11,2,205.0,234.1885993823382,3278.121362519842,0.0,0.49,0.4665998056416601,0.7622975639323728,0.3556878951719561
1605473.8758166605,-2163019.413791975,11,2,205.0,692.9288163103462,3472.9429238837315,0.0,0.49,0.4631647514913176,0.7598238136686913,0.3519236078350446
1605473.8758166605,-2162019.413791975,11,2,202.0,399.3201978474957,3921.2989477594306,0.0,0.49,0.4653632975664384,0.7430947444663717,0.34580902068916064
1605473.8758166605,-2161019.413791975,11,2,195.0,217.4763235948355,4548.828236243302,0.0,0.49,0.46672494743256293,0.7097645581805726,0.331264826106324
1605473.8758166605,-2160019.413791975,11,2,184.0,402.1040202457946,5292.172635883063,0.0,0.49,0.46534245225937737,0.6612548125670569,0.3077099360482692
1605473.8758166605,-2159019.413791975,11,2,171.0,1082.6916904912232,6109.201592117797,0.0,0.49,0.4602462007970483,0.6058820883735774,0.27885492930492045
1605473.8758166605,-2158019.413791975,11,2,154.0,1760.1296675493627,6974.066029102374,0.0,0.49,0.4551735342881548,0.5373985805577642,0.24460961123391523
1605473.8758166605,-2157019.413791975,11,2,136.0,2115.1891912623314,7871.013267897907,0.0,0.49,0.45251484284244653,0.4670301277808573,0.21133806487544235
