centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,col_index,row_index,V,RiskFire,RiskPoaching,R
1610473.8758166605,-2158019.413791975,15,2,191.0,595.216473349391,6037.365036845791,0.0,12,51,0.49,0.4560998445535187,0.6775953435754002,0.30905113087492814
1609473.8758166605,-2170019.413791975,14,2,192.0,1394.1411527441614,5887.268167989901,0.0,11,39,0.49,0.45214203620153925,0.6829279615875431,0.3087804391311583
1617473.8758166605,-2162019.413791975,21,2,198.0,3634.8698558359615,3755.2294250233344,0.0,19,47,0.49,0.4226003465722808,0.7304166643985308,0.3086743355169884
1612473.8758166605,-2177019.413791975,17,2,191.0,1632.3860777494706,4803.613145665614,0.0,14,32,0.49,0.44463100269498734,0.6921910853565716,0.307769616338624
1605473.8758166605,-2160019.413791975,11,2,184.0,402.1040202457946,5292.172635883063,0.0,7,49,0.49,0.46534245225937737,0.6612548125670569,0.3077099360482692
1604473.8758166605,-2162019.413791975,11,2,185.0,1377.1399931352755,4788.031370655059,0.0,6,47,0.49,0.4580413671532226,0.6706254102210452,0.3071741797453382
1630473.8758166605,-2150019.413791975,31,2,205.0,543.0082710448239,6435.58956432993,0.0,32,59,0.49,0.4252716145046431,0.7222055549056912,0.30713352233896496
1611473.8758166605,-2176019.413791975,16,2,195.0,1850.7013464094628,6216.935818148936,0.0,13,33,0.49,0.4449471108321522,0.6896169433109569,0.30684306650711035
1610473.8758166605,-2175019.413791975,15,2,191.0,1151.0373075867485,5973.459832431773,0.0,12,34,0.49,0.4520077986756621,0.6783513658103147,0.3066201075885492
1630473.8758166605,-2151019.413791975,31,2,207.0,1525.7021789915084,6252.749628524911,0.0,32,58,0.49,0.4185315419384509,0.7315957260034728,0.3061958872798139
1631473.8758166605,-2151019.413791975,32,2,211.0,1370.3397258674263,7247.932365528808,0.0,33,58,0.49,0.4176723799292229,0.7327266464515899,0.3060396822609939
1617473.8758166605,-2166019.413791975,21,2,193.0,1683.6674816406355,4699.608111025252,0.0,19,43,0.49,0.43659708922903456,0.7006824615847997,0.3059159232017584
1611473.8758166605,-2180019.413791975,16,2,184.0,257.98099421029906,4538.303784397553,0.0,13,29,0.49,0.4566228736915275,0.6698465024992705,0.3058672349034358
1612473.8758166605,-2158019.413791975,17,2,187.0,482.4348054625631,5189.04398412732,0.0,14,51,0.49,0.4530247760417204,0.6732306403874939,0.30499016008596846
1608473.8758166605,-2170019.413791975,14,2,185.0,427.5842414435997,5401.405476800851,0.0,10,39,0.49,0.45928839978423264,0.663596918471721,0.3047823667866246
1614473.8758166605,-2169019.413791975,18,2,197.0,2551.08253931407,6029.937093169741,0.0,16,40,0.49,0.4360376056381789,0.6989716969805845,0.3047779451602688
1611473.8758166605,-2170019.413791975,16,2,199.0,3349.7597165052875,6446.90689745646,0.0,13,39,0.49,0.4339579563221131,0.7009283352208319,0.3041734278806932
1609473.8758166605,-2158019.413791975,14,2,190.0,1410.3180787863769,6200.238794076305,0.0,11,51,0.49,0.45202243000577735,0.6721309553645618,0.3038182677259939
1609473.8758166605,-2174019.413791975,14,2,183.0,860.7296847400576,5097.497141353695,0.0,11,35,0.49,0.456085882906237,0.6598676553906818,0.30095632221012764
1609473.8758166605,-2179019.413791975,14,2,187.0,992.919245737295,6304.865958788418,0.0,11,30,0.49,0.4551085222835171,0.6603065052808315,0.3005111178725526
1629473.8758166605,-2151019.413791975,30,2,199.0,1619.5942680786932,5259.3946665711255,0.0,31,58,0.49,0.41980447299403467,0.7155654723182968,0.3003975859993101
1616473.8758166605,-2160019.413791975,20,2,193.0,3781.7356640711096,3983.875426352395,0.0,18,49,0.49,0.4233957098837252,0.7092385080028576,0.30028854157274404
1616473.8758166605,-2168019.413791975,20,2,188.0,507.864907560784,5642.729848043497,0.0,18,41,0.49,0.4469834768208084,0.6715478351496235,0.30017078620666576
1630473.8758166605,-2152019.413791975,31,2,206.0,2507.324543511426,6227.113520205369,0.0,32,57,0.49,0.41179881884333597,0.7283885499560679,0.299949544530919
